Campaign,Topic,Month,Year,Responses,Targets,Effectiveness
Holiday preparations,Dermal Fillers,October,2016,63,13568,4.64
BIOTE,Event,October,2016,7,1663,4.21
10th Anniversary Open House,Event,October,2016,14,3982,3.52
Be Holiday Ready,Dermal Fillers,October,2016,40,12198,3.28
CoolSculpting newest technology,CoolSculpting,October,2016,9,3224,2.79
Earn up to $100 in Visa Cards!,Dermal Fillers,October,2016,5,2045,2.44
Oxygen FaciAL,Microdermabrasion,October,2016,1,465,2.15
Annual Face Fair,Event,October,2016,7,3468,2.02
October Specials,Laser Hair Removal,October,2016,4,2507,1.6
ultrashape/velashape,Event,October,2016,12,7694,1.56
Botox,Botox,October,2016,2,1393,1.44
HCG women,Medical Weight Loss,October,2016,3,2093,1.43
Halloween miraDry,miraDry,October,2016,6,5881,1.02
Need Hair? Grow it Again!,NeoGraft,October,2016,2,2207,0.91
Diolaze & Lumecca Education,IPL Therapy,October,2016,1,1166,0.86
VIP Party 2,VIP Party 2,October,2016,5,7447,0.67
Blepharoplasty—Eye Lift,BBL Therapy,October,2016,0,2204,0
FREE eyebrow waxing with the purchase of a microdermabrasion.,Dermabrasion,October,2016,0,1554,0
Introducing the Skinny Facial Ultra Cleanse!,Other,October,2016,0,1503,0
Introducing Restylane-L Lyft and Silk,Dermal Fillers,October,2016,0,2421,0
Breast Cancer Awareness,,October,2016,16,1888,8.47
Introducing Pricing on Aesthetic Laser Services at CHARM,Other,October,2016,16,2817,5.68
ATTN: Now Offering Physical Therapy!!!,Massage,October,2016,4,722,5.54
Love Your Lips,Dermal Fillers,October,2016,33,13095,2.52
sculpsure open house,SculpSure,October,2016,2,1630,1.23
Get rid of unwanted hair!,Laser Hair Removal,October,2016,7,8699,0.8
Facebook Live with Earl Campbell,Event,October,2016,4,7674,0.52
Halloween Fantasy MakeUp Special,Event,October,2016,3,10444,0.29
FaBOO-lous Savings at Laser Clinique,Laser Hair Removal,October,2016,0,17614,0
Fab Med Spa Grand Opening Party,Event,October,2016,1,44,22.73
Ladies' Night Out - Event,Event,October,2016,21,3012,6.97
Let the Years FALL Away,Botox,October,2016,9,2252,4
MIcro-CooLifting,Microdermabrasion,October,2016,5,1770,2.82
CoolSculpting (Oct. & Nov.),CoolSculpting,October,2016,6,3064,1.96
Lunchtime Lipo,Liposuction,October,2016,15,8227,1.82
Orlando's Top Rated Tummy Tuck Surgeon,Event,October,2016,15,10418,1.44
Pumpkin Peel with Microdermabrasion Fall Special,Microdermabrasion,October,2016,4,2901,1.38
"Introducing Volbella: Juvederm's Newest, Softest Lip Injectable",Dermal Fillers,October,2016,5,4142,1.21
Velashape,VelaShape,October,2016,1,891,1.12
How Does Geographic Farming Help Your Marketing?,Your Marketing?,October,2016,5,5461,0.92
Learn More about Cellfina,Cellfina,October,2016,0,3563,0
October 26th Pink event,Event,October,2016,0,3012,0
Get Smart with Smart Lipo,SmartLipo,October,2016,14,607,23.06
Merz Promotion,Dermal Fillers,October,2016,10,999,10.01
Restylane Lyft,Dermal Fillers,October,2016,16,2720,5.88
Keep the Turkey Neck Away before Turkey Day,Kybella,October,2016,9,1756,5.13
A Life-Changing Event You Won't Want To Miss!,ThermiVa,October,2016,8,2167,3.69
BTL Event NYC Nov. 17 (2),,October,2016,5,1779,2.81
"BTL Event Woburn, MA Nov. 19 (4)",,October,2016,3,1196,2.51
IPL end of month October,IPL Therapy,October,2016,3,1219,2.46
Fall Customer Party,Event,October,2016,6,2884,2.08
VIP Party Specials - Don't Miss Out,Other,October,2016,15,7422,2.02
Exciting News,Event,October,2016,26,13246,1.96
Wake up looking this good!,Perm Makeup,October,2016,2,1392,1.44
Casa Azur,Other,October,2016,13,11832,1.1
BTL Event Princeton Nov. 12 (2),Princeton Nov. 12 (2),October,2016,1,983,1.02
Get rid of damage caused by the sun,Laser Skin Resurfacing,October,2016,7,7378,0.95
Ultherapy,Ultherapy,October,2016,3,6494,0.46
Event 11/4/16 4-8pm,Event,October,2016,24,2944,8.15
Introducing the Skinny Facial!,Chemical Peel,October,2016,5,1500,3.33
Botox Cosmetic/Holiday,Botox,October,2016,36,12295,2.93
PINK OUT!,Dermal Fillers,October,2016,11,5825,1.89
Dr. Kathryn White will be out of the office,Bioidentical Hormone Replacement Therapy,October,2016,1,2384,0.42
UltraShape,UltraShape,October,2016,0,7382,0
O-Shot,O-Shot,October,2016,16,1144,13.99
Laser Hair Removal,Laser Hair Removal,October,2016,45,10253,4.39
Look and Feel Your Best for the Holidays! For ONE week ONLY we're offering....,Dermal Fillers,October,2016,5,1736,2.88
16 Year Anniversary Sale,Botox,October,2016,44,17777,2.48
Save the Date -Annual Customer Appreciation Party,Other,October,2016,7,3090,2.27
Spooktacular Event,Event,October,2016,3,4825,0.62
Vanquish ME,Vanquish ME,October,2016,0,589,0
Get rid of your Gobble Chin and Turkey Neck before the Holidays!,Dermal Fillers,October,2016,1,52,19.23
"Laser Informative Event - Exilis, Thermi, Sciton",Event,October,2016,55,6645,8.28
Grand Opening of our 3rd Location,Event,October,2016,2,4931,0.41
All Services,All Services,October,2016,0,3236,0
Relaxation Week,Event,October,2016,0,3246,0
Holiday Cool Event,CoolSculpting,October,2016,0,4778,0
Holiday Cool Event Men,CoolSculpting,October,2016,0,686,0
November Specials,Dermal Fillers,October,2016,29,828,35.02
It's our Annual Customer Appreciation Month!,Event,October,2016,51,2030,25.12
Nov 3rd open house,Event,October,2016,5,401,12.47
Breast Cancer Awareness,Event,October,2016,80,6791,11.78
Food Packages Women,Medical Weight Loss,October,2016,22,5423,4.06
Food Packages2,Medical Weight Loss,October,2016,2,829,2.41
Botox Study Results,Botox,October,2016,11,4799,2.29
Exilis Elite,Exilis Face,October,2016,6,3199,1.88
Ultrashape,UltraShape,October,2016,18,15948,1.13
November Birthday Offer,HydraFacial,October,2016,0,86,0
Brotox,Botox,October,2016,0,177,0
Botox-1,Botox,October,2016,0,868,0
Newsletter,Newsletter,October,2016,0,1628,0
November Birthdays,Birthday,October,2016,0,135,0
New Make Up Artistry Services!,Event,October,2016,0,2052,0
OPTIMA-G DSAE Draft,OPTIMA-G DSAE Draft,October,2017,0,27190,0
Injectables/Filler Promo (April),Botox,October,2017,0,1296,0
Scare away those fine lines,Botox,October,2017,0,2455,0
Hair Restore Bi-Annual Event,NeoGraft,October,2017,0,1990,0
Food Drive,Event,November,2015,11,3573,3.08
SmartLipo,SmartLipo,November,2015,12,18373,0.65
Permanent Fat Loss,Vanquish Body,November,2015,0,581,0
Holiday Gifts,Obagi,November,2015,4,2203,1.82
SculpSure,SculpSure,November,2015,3,4783,0.63
Radiesse® for Hands,Dermal Fillers,November,2015,1,2144,0.47
Beauty Expo,Event,November,2015,17,18172,0.94
ULTRSONIC FACIALS,ULTRSONIC FACIALS,November,2015,2,6886,0.29
Save on Micro Peels,Microdermabrasion,November,2015,4,19081,0.21
Halo,Halo,November,2015,15,2384,6.29
Ultherapy,Ultherapy,November,2015,3,1072,2.8
Liquid Facelift,Dermal Fillers,November,2015,14,6993,2
Vanish Light Laser,Event,November,2015,6,5192,1.16
Medical Weight Loss,Medical Weight Loss,November,2015,5,4691,1.07
Latisse and 3D-Lashes,Latisse,November,2015,16,25524,0.63
Hand Rejuvenation,Dermal Fillers,November,2015,0,10359,0
Botox,Botox,November,2015,3,2102,1.43
Holiday Specials,Event,November,2015,0,2905,0
Photofacial,IPL Therapy,November,2015,10,623,16.05
Oxygen Chamber,Event,November,2015,4,653,6.13
Liquid Facelift Special,Dermal Fillers,November,2015,10,2248,4.45
Dermal Filler Special,Dermal Fillers,November,2015,17,4464,3.81
Holiday Open House,Event,November,2015,4,3522,1.14
Get Red Carpet Ready,Botox,November,2015,31,1077,28.78
Winter Specials,Medical Weight Loss,November,2015,6,310,19.35
Sermorelin Therapy,Event,November,2015,3,197,15.23
Ultherapy & Smartlipo,Ultherapy,November,2015,8,842,9.5
Pre-Holiday Offers,Botox,November,2015,14,3948,3.55
Gift with BOTOX or Juvederm,Botox,November,2015,7,2346,2.98
Vampire Facelift,Vampire Facelifts,November,2015,3,1365,2.2
Fillers,Dermal Fillers,November,2015,22,15114,1.46
OR Best Practices Webinar,Practices Webinar,November,2015,24,16914,1.42
SculpSure,SculpSure,November,2015,16,12879,1.24
Botox & Juvederm,Botox,November,2015,7,5853,1.2
Amazing November Specials,Laser Vein Treatment,November,2015,19,18828,1.01
Review Us & Get $50,Event,November,2015,11,1458,7.54
ThermiVa,ThermiVa,November,2015,6,1794,3.34
Fillers,Dermal Fillers,November,2015,16,5290,3.02
Did You Know,,November,2015,11,4268,2.58
Holiday Gift Card Special,Event,November,2015,5,25524,0.2
Neocutis,Botox,November,2015,0,2207,0
Restylane,Dermal Fillers,November,2015,3,2005,1.5
Thanksgiving Specials,Botox,November,2015,8,6886,1.16
Introducing Kybella,Kybella,November,2015,0,4803,0
Roar!,,November,2015,3,6886,0.44
Restylane Silk,Dermal Fillers,November,2015,1,311,3.22
Financing,Nose Surgery,November,2015,4,1399,2.86
Free GLO Peel,Chemical Peel,November,2015,5,1978,2.53
Weight loss,Medical Weight Loss,November,2015,7,4692,1.49
November Specials,Medical Weight Loss,November,2015,4,4242,0.94
November Specials,Dermal Fillers,November,2015,0,1230,0
Ulthera Day,Ultherapy,November,2015,41,9740,4.21
Laser Hair Removal,Laser Hair Removal,November,2015,5,2114,2.37
Hair Restoration,Hair Restoration,November,2015,14,34584,0.4
Phytopeel,Event,November,2015,0,5682,0
Black Friday Only,Event,November,2015,5,606,8.25
Clean & Confident All Day,miraDry,November,2015,11,4322,2.55
Eliminate Underarm Sweat,miraDry,November,2015,0,289,0
Laser Hair Removal Special,Laser Hair Removal,November,2015,8,2222,3.6
MicroNeedling,Micro-Needling,November,2015,1,386,2.59
Facelift Special,Event,November,2015,0,1978,0
Holiday Open House,Event,November,2015,4,1794,2.23
Pre Black Friday Sale,Breast Enhancement,November,2015,6,18828,0.32
Austin's Finest Estate,Finest Estate,November,2015,0,1310,0
Botox Black Friday,Botox,November,2015,9,2209,4.07
Black Friday Special,Event,November,2015,5,2102,2.38
Lashes & Lattes Event,Latisse,November,2015,1,2973,0.34
Introducing Laser Treatments,Laser Hair Removal,November,2015,0,311,0
One-Day Sale,Laser Hair Removal,November,2015,0,1972,0
Restylane & Dysport,,November,2015,7,584,11.99
SculpSure,SculpSure,November,2015,5,4467,1.12
Botox Holiday Specials,Botox,November,2015,3,3356,0.89
Double Your Brilliance,Botox,November,2015,5,6793,0.74
Black Friday Specials,Event,November,2015,2,4692,0.43
PRP Hair Restoration Services,PRP Hair Restoration,November,2015,2,4983,0.4
December Filler Specials,Dermal Fillers,November,2015,8,1089,7.35
Vampire Breast Lift,Vampire Breastlift,November,2015,2,307,6.51
Introducing Rejuvapen,Micro-Needling,November,2015,12,3574,3.36
Total Non-Surgical Rejuvenation,Ultherapy,November,2015,5,2973,1.68
NeoGraft procedure discount,NeoGraft,November,2016,4,101,39.6
Patient Appreciation Weeks 2016—20% Off All Injectables!,Dermal Fillers,November,2016,51,2231,22.86
November Specials,Exilis Face,November,2016,36,1713,21.02
Face and Neck tightening,Exilis Face,November,2016,43,2187,19.66
Happy Birthday — Treat Yourself in November!,Dermal Fillers,November,2016,3,158,18.99
Fall fillers,Dermal Fillers,November,2016,32,1861,17.2
Hormone Pellets - Oct-Nov,Bioidentical Hormone Replacement Therapy,November,2016,135,8717,15.49
Botox for the Holidays,Botox,November,2016,9,645,13.95
No Shave November,Laser Hair Removal,November,2016,18,1331,13.52
Botox,Botox,November,2016,19,1473,12.9
Holiday Open House,Event,November,2016,26,2035,12.78
chemical peels,Chemical Peel,November,2016,9,772,11.66
November specials,Botox,November,2016,5,441,11.34
November Special,Dermal Fillers,November,2016,22,1949,11.29
Ultherapy Flash Sale,Ultherapy,November,2016,18,1623,11.09
Black Friday PHONE Sale - November 25th,Event,November,2016,63,5830,10.81
November & December Specials,Other,November,2016,23,2138,10.76
Falladay Special,Ultherapy,November,2016,41,3865,10.61
Kybella,Kybella,November,2016,10,954,10.48
Client Appreciation,Event,November,2016,7,722,9.7
BTL Vanquish ME,Vanquish,November,2016,13,1456,8.93
Laser Special,Event,November,2016,28,3182,8.8
Feel & Look Better in your clothes this holiday season,CoolSculpting,November,2016,36,4284,8.4
Massage and Facial SPECIAL,Massage,November,2016,5,654,7.65
Fresh Faces Fall Event,Dermal Fillers,November,2016,11,1470,7.48
November $50 OFF BHRT Pellet Insertion,Bioidentical Hormone Replacement Therapy,November,2016,7,1115,6.28
Don't let your face fall like the leaves,Botox,November,2016,39,6383,6.11
November Promotions/Event and Black Friday Sale,Event,November,2016,19,3111,6.11
O shot and P shot education,O-Shot,November,2016,5,836,5.98
ThermiVa New Pricing,ThermiVa,November,2016,27,4838,5.58
$100 off any Dermal Filler!,Dermal Fillers,November,2016,9,1731,5.2
Monthy Specials for November 2016,Botox,November,2016,20,3943,5.07
LASER HAIR REMOVAL,Laser Hair Removal,November,2016,10,2140,4.67
No Shave November - Men,Laser Hair Removal,November,2016,1,217,4.61
Holiday Event 2016,Event,November,2016,14,3065,4.57
November Specials,Laser Skin Resurfacing,November,2016,18,4010,4.49
Give Your Skin Something to be Thankful For,Event,November,2016,5,1117,4.48
Holiday Beauty Event,Ultherapy,November,2016,6,1360,4.41
Vanquish ME,Vanquish Body,November,2016,20,4815,4.15
Vanquish Me—Happy Holidays,Vanquish Body,November,2016,14,3474,4.03
Lovely November Beauty Specials,UltraShape,November,2016,9,2289,3.93
Fit Body Wrap 2,Other,November,2016,4,1027,3.89
Client Appreciation Events,Botox,November,2016,46,12533,3.67
Advances in sexual health,O-Shot,November,2016,11,3052,3.6
3 BTL Event Chicago Nov. 5,,November,2016,3,872,3.44
"Annual Holiday Beauty Event! Save on Injectables, SkinCare & More!",Event,November,2016,55,16176,3.4
Brotox and Brews,Event,November,2016,1,301,3.32
Little Black Dress,CoolSculpting,November,2016,6,1889,3.18
Look Fabulous For the Festivities,SculpSure,November,2016,14,4456,3.14
SculpSure BOGO,SculpSure,November,2016,7,2439,2.87
OPEN HOUSE,Micro-Needling,November,2016,7,2445,2.86
VI Peel,,November,2016,8,2803,2.85
November Special,Other,November,2016,3,1148,2.61
Free Seminar,Event,November,2016,28,11133,2.52
Vanquish Body FX November December,Vanquish Body,November,2016,2,800,2.5
Weight Loss Specials,Medical Weight Loss,November,2016,6,2476,2.42
Active Serum 15% OFF,Event,November,2016,3,1239,2.42
Get Ready For The Holidays Now with these special offers,Dermal Fillers,November,2016,6,2490,2.41
Laser Hair Removal,Laser Hair Removal,November,2016,42,17868,2.35
Dermal Fillers,Dermal Fillers,November,2016,5,2466,2.03
hand filler,Dermal Fillers,November,2016,1,498,2.01
Fresh Face,Chemical Peel,November,2016,5,2574,1.94
November Specials & Events,Event,November,2016,46,29977,1.53
We're Moving,Event,November,2016,10,9104,1.1
Botox special,Botox,November,2016,7,8554,0.82
National Healthy Skin Month - Wood's Lamp,Event,November,2016,1,1350,0.74
Hair Removal,Laser Hair Removal,November,2016,2,4282,0.47
Ultherapy Event,Ultherapy,November,2016,4,9029,0.44
Thermi Va Educational Lunch,ThermiVa,November,2016,2,4629,0.43
November Newsletter,Event,November,2016,0,2226,0
Birthday Treat Specials : November,Birthday,November,2016,0,2420,0
November Birthday,HydraFacial,November,2016,0,57,0
Membership plan,Laser Hair Removal,November,2016,0,986,0
Membership Offer,Laser Hair Removal,November,2016,0,3111,0
All Services,All Services,November,2016,0,1362,0
Treatment Protocol highlight,IPL Therapy,November,2016,0,967,0
"Treatment Protocol for Skin Texture, Scarring, and pigmentation",IPL Therapy,November,2016,0,3094,0
November Birthday,Birthday,November,2016,0,32,0
OPEN HOUSE NOV 4th 10:00AM to 5:00 PM,Dermal Fillers,November,2016,0,11465,0
"Scalpel-Free, Scarless Aesthetic Surgery Workshop Nov. 19 (2)","Scalpel-Free, Scarless Aesthetic Surgery Workshop Nov. 19 (2)",November,2016,0,4783,0
chemical peels male,Chemical Peel,November,2016,0,256,0
25% off our medical weight loss programs,Medical Weight Loss,November,2016,0,1456,0
Flawless Look,HydraFacial,November,2016,0,9150,0
CoolSculpting-Male,CoolSculpting,November,2016,0,395,0
National Healthy Skin month,Event,November,2016,0,4789,0
Customer Appreciation,Event,November,2016,0,112,0
November Specials,Dermal Fillers,November,2016,66,5562,11.87
Get ready for the Holidays,Laser Skin Resurfacing,November,2016,78,7281,10.71
Giving Thanks to You,Chemical Peel,November,2016,18,1691,10.64
Monthly Specials for November,Dermal Fillers,November,2016,21,2764,7.6
Botox/filler pre-holiday gift,Botox,November,2016,7,1163,6.02
FLASH SALE - FACIAL FILLER AND WRINKLE REDUCER!,Botox,November,2016,4,918,4.36
Far Infrared Sauna,Event,November,2016,13,2980,4.36
November Specials,Vanquish Body,November,2016,6,1824,3.29
November Specials,Bellafill,November,2016,11,4192,2.62
Dermal Filler Sale,Dermal Fillers,November,2016,23,12512,1.84
Dec. 3 Event,,November,2016,6,3731,1.61
$50 off all fillers when you purchase BOTOX®,Botox,November,2016,12,12397,0.97
Prospect November Specials,Dermal Fillers,November,2016,4,4220,0.95
ultrashape men,UltraShape,November,2016,5,8075,0.62
Tips for Buying a Vacation Home,Move or Improve,November,2016,0,1829,0
"November Specials...Our way of saying ""Thanks"" to our amazing clients!",Dermal Fillers,November,2016,0,1627,0
Additional savings on injectables for November!,Botox,November,2016,27,2045,13.2
Lyme's Day Event and Fundraiser,Ultherapy,November,2016,17,1403,12.12
NOVEMBER BIRTHDAY MONTH,Birthday,November,2016,1,85,11.76
Dermal Fillers,Dermal Fillers,November,2016,20,1848,10.82
Dual Sculpt / Laser Hair Removal,CoolSculpting,November,2016,39,3759,10.38
Peel Week Event,Chemical Peel,November,2016,23,2538,9.06
Injectables,Dermal Fillers,November,2016,16,1811,8.83
Latisse,Latisse,November,2016,14,1753,7.99
Look your best for the holidays,Dermal Fillers,November,2016,54,9001,6
Botox Filler Free Micro,Botox,November,2016,44,7868,5.59
Dysport new at Docere,Event,November,2016,17,3549,4.79
Kybella Special Event,Kybella,November,2016,3,627,4.78
Silhouette Instalift,Event,November,2016,14,3149,4.45
Reflections body solutions Annual Customer Appreciation Week,Other,November,2016,13,3086,4.21
Voluma/Botox,Dermal Fillers,November,2016,2,498,4.02
Bellafill,Bellafill,November,2016,13,3450,3.77
Cellfina Fall and Winter Special,Cellfina,November,2016,18,5057,3.56
New Team Members and Amazing Offers!,Laser Hair Removal,November,2016,5,1482,3.37
Bellafill Breeze Special,Bellafill,November,2016,11,3369,3.27
Announcing New Skin Care Line,Event,November,2016,10,3204,3.12
November Specials,Laser Hair Removal,November,2016,13,4455,2.92
Ageless Mini-makeovers & Laser Specials,Juvederm,November,2016,23,8038,2.86
Sculptra Lunch and Learn,Sculptra,November,2016,12,4770,2.52
WWYB November Specials,Dermal Fillers,November,2016,14,5684,2.46
Spider Vein Saturdays,Sclerotherapy,November,2016,9,4607,1.95
November Newsletter,Event,November,2016,13,7323,1.78
No Turkey Neck November - Female,Kybella,November,2016,17,10295,1.65
FALL ALLERGIES GOT YOU DOWN?,Event,November,2016,1,647,1.55
Tattoo Removal,Tattoo Removal,November,2016,5,3297,1.52
Did you know?,Event,November,2016,2,1376,1.45
ThermiVa,ThermiVa,November,2016,13,9027,1.44
UltraShape Power,UltraShape,November,2016,15,10851,1.38
Dermal Filler Holiday Special,Dermal Fillers,November,2016,2,4675,0.43
HAIR LOSS THERAPY RESEARCH STUDY,Event,November,2016,1,4296,0.23
Conquer the Day,Eyelid Surgery,November,2016,0,559,0
SculpSure,SculpSure,November,2016,0,1149,0
Buy one get another service for 1/2 price,Chemical Peel,November,2016,0,909,0
November birthday,HydraFacial,November,2016,0,32,0
Wrinkle Free Friday,Botox,November,2016,25,886,28.22
November Specials ALL,Botox,November,2016,34,2057,16.53
November Events,Kybella,November,2016,48,2933,16.37
"Xeomin , the other Botox Givaway",Dermal Fillers,November,2016,6,428,14.02
Tattoo Removal,Tattoo Removal,November,2016,4,553,7.23
Fall into Beauty - VIP Grand Beauty Event,Event,November,2016,33,11886,2.78
No Turkey Neck November,Kybella,November,2016,11,4087,2.69
November Specials,Laser Hair Removal,November,2016,11,4206,2.62
Radiant Skin for the Holidays ? No Problem !,Micro-Needling,November,2016,11,6978,1.58
Dec. 3 Event,Dec. 3 Event,November,2016,2,1349,1.48
CoolSculpting Get Ready for the Holidays,CoolSculpting,November,2016,2,2070,0.97
November campaign,Event,November,2016,1,3102,0.32
Birthday Celebrations -November,Birthday,November,2016,0,116,0
November Deal,IPL Therapy,November,2016,0,1447,0
SKINMEDICA,Chemical Peel,November,2016,0,10410,0
HAPPY B-DAY,Event,November,2016,0,800,0
PEELS,Chemical Peel,November,2016,0,10410,0
Save the Date,Event,November,2016,4,234,17.09
MonaLisa Touch,Mona Lisa Touch,November,2016,10,714,14.01
Introducing Volbella XC for Lips,Dermal Fillers,November,2016,8,624,12.82
Latisse,Latisse,November,2016,41,7710,5.32
November Specials,Laser Hair Removal,November,2016,27,6472,4.17
Get Rid of Your Double Chin,Kybella,November,2016,26,7790,3.34
Mona Lisa Touch,Mona Lisa Touch,November,2016,2,636,3.14
Introducing the New Belage Online Store,Event,November,2016,6,2040,2.94
Introducing the New Skin Pen,Event,November,2016,1,550,1.82
Pre Black Friday Sale,Dermal Fillers,November,2016,19,10784,1.76
Kybella Event with Special Savings,Kybella,November,2016,6,4589,1.31
November Specials,Other,November,2016,2,1628,1.23
Look your best this holiday season.,Microdermabrasion,November,2016,1,1128,0.89
November – Get Ready for Holidays kind of Offer – with the Retail discount etc.,Micro-Needling,November,2016,5,6117,0.82
Submental Fat Reduction,CoolSculpting,November,2016,12,22710,0.53
All Services 2,All Services 2,November,2016,5,18901,0.26
All Services,All Services,November,2016,0,18934,0
eMatrix Sublative Skin Rejuvination,eMatrix,November,2016,0,118,0
Thermi Event,ThermiVa,November,2016,0,1316,0
melasma,Chemical Peel,November,2016,4,220,18.18
Holiday Special,Other,November,2016,12,686,17.49
B2G1 Laser services,Laser Hair Removal,November,2016,16,1107,14.45
Kybella & SkinTyte,Dermal Fillers,November,2016,5,396,12.63
A touch of glamour for the holidays,Dermal Fillers,November,2016,39,3205,12.17
Holiday Special,Botox,November,2016,12,1490,8.05
Look Your Best This Holiday Season,Dermal Fillers,November,2016,29,4093,7.09
NEW IPL Therapy,IPL Therapy,November,2016,11,1978,5.56
Laser B2G1,Laser Hair Removal,November,2016,15,3046,4.92
SculpSure Event,Event,November,2016,2,457,4.38
Protein Bars and Shakes Special,Nutritional Supplements,November,2016,5,1343,3.72
Dallas Symposium,,November,2016,2,613,3.26
Save The Date: Mingle and Jingle,Event,November,2016,10,4161,2.4
Clear and Brilliant,Laser Skin Resurfacing,November,2016,38,22660,1.68
Holiday Gift Cards,Event,November,2016,1,902,1.11
SculpSure Guarantee,SculpSure,November,2016,7,7723,0.91
Facebook Likes,Other,November,2016,5,7387,0.68
Facials,,November,2016,1,7176,0.14
Voluma,Dermal Fillers,November,2016,0,169,0
HOLIDAY GIFT SPECIAL ***GIVE ONE GET ONE***,Massage,November,2016,5,631,7.92
Exilis Ultra Lip - Nov,Exilis Face,November,2016,12,1688,7.11
Patient Appreciation Month!,Event,November,2016,8,1472,5.43
Open House,Event,November,2016,4,1203,3.33
Come Celebrate Fuchsia's 10th Anniversary,Event,November,2016,38,13155,2.89
The Ragweed Factor,Other,November,2016,4,2093,1.91
Is More Better? Quantity vs. Quality Marketing,Event,November,2016,7,5430,1.29
Relieve Sinus Issues with Halotherapy,Event,November,2016,7,5406,1.29
Lighten and Tighten,Skin Tightening Laser,November,2016,0,942,0
December 3 Event,Event,November,2016,42,810,51.85
Botox,Botox,November,2016,20,2004,9.98
Holiday Deals,Event,November,2016,10,2097,4.77
Big Semi-Annual Sale,Event,November,2016,16,4464,3.58
"November ""No Gobbler""",Kybella,November,2016,2,566,3.53
Holiday Party 2016,Lip Augmentation,November,2016,8,2326,3.44
Nov Legacy Arm Special,Venus Body,November,2016,1,301,3.32
ThermiVa-2,ThermiVa,November,2016,15,4666,3.21
Preparing for the Holidays,IPL Therapy,November,2016,11,4517,2.44
November Specials,Chemical Peel,November,2016,7,3232,2.17
Stop the Clock on Aging Skin!,IPL Therapy,November,2016,10,4900,2.04
EXPANDED HOURS AND NEW SERVICES AT NOOR!,Chemical Peel,November,2016,5,2476,2.02
Botox Party!,Botox,November,2016,11,5471,2.01
Fall into Shape,UltraShape,November,2016,13,7513,1.73
JDD Multi-Product Study,,November,2016,1,630,1.59
November Product Specials,Bellafill,November,2016,6,4167,1.44
Holiday,CoolSculpting,November,2016,1,807,1.24
Holiday Breeze Body,VelaShape,November,2016,5,4669,1.07
Sculpsure Open House,SculpSure,November,2016,8,10142,0.79
November Specials,Micro-Needling,November,2016,6,10376,0.58
Skin Pen - Nov,Event,November,2016,1,2060,0.49
National Healthy Skin Month,Event,November,2016,8,17727,0.45
"November ""No Gobbler"" - Men",Kybella,November,2016,0,42,0
Holiday Special,CoolSculpting,November,2016,0,189,0
"Be THANKFUL event for ""What's New at aNu""",Event,November,2016,11,1094,10.05
Healthy Skin Month,Event,November,2016,38,6195,6.13
Black Friday and Cyber Monday,Event,November,2016,18,3274,5.5
JDD Multi-Product Study,,November,2016,2,484,4.13
ThermiSmooth with Body Tight Cream,ThermiSmooth,November,2016,3,856,3.5
Top Doctors,Facelift,November,2016,17,11940,1.42
November Specials,Event,November,2016,2,5647,0.35
All Services,All Services,November,2016,1,4295,0.23
JDD Multi-Product Study,JDD Multi-Product Study,November,2016,0,854,0
Holiday Event,Event,November,2016,0,373,0
Mingle and Jingle Event,Event,November,2016,0,4148,0
Member Special for the Holidays,Microdermabrasion,November,2016,16,820,19.51
Shine this Holiday season with Botox and Juvederm offers!,Dermal Fillers,November,2016,19,1205,15.77
Holiday Specials,Dermal Fillers,November,2016,42,3249,12.93
Patient Appreciation Special Pricing,Facelift,November,2016,92,8481,10.85
new fillers and also Gift cert for Holidays,Dermal Fillers,November,2016,19,2166,8.77
New Service,Perm Makeup,November,2016,23,4234,5.43
"Lift, Lighten, Luminous",Event,November,2016,9,2045,4.4
Black Friday / Cyber Monday,Event,November,2016,10,2304,4.34
Half Price or less Black Friday Beauty Fix Deals -Only 50 Left,Event,November,2016,43,20133,2.14
November Injectables campaign,Dermal Fillers,November,2016,8,4128,1.94
Neck & Décolletage Lift,Event,November,2016,6,5405,1.11
Tattoo Removal,Tattoo Removal,November,2016,1,1118,0.89
Beaumont Health and Wellness,Other,November,2016,1,3050,0.33
Botox/Juvederm Promotion,Juvederm,November,2016,0,189,0
Get Holiday Ready,Other,November,2016,5,543,9.21
November,CoolSculpting,November,2016,3,364,8.24
Holiday Savings!,CoolSculpting,November,2016,11,1351,8.14
November Specials,Other,November,2016,117,15426,7.58
Open House,Event,November,2016,24,3343,7.18
Bellafill,Dermal Fillers,November,2016,6,961,6.24
VI Peel,Chemical Peel,November,2016,61,11724,5.2
Spa Holiday Event,Botox,November,2016,15,3181,4.72
Holiday Special,Latisse,November,2016,75,16675,4.5
IPL Laser / Silkpeel Package,IPL Therapy,November,2016,72,18713,3.85
FLASH sale on INJECTABLES!,Juvederm,November,2016,20,5606,3.57
Black Friday Specials,Botox,November,2016,37,13070,2.83
Gift the Gift of Happiness for You and a Friend,Event,November,2016,7,2687,2.61
Confidence with CoolSculpting,CoolSculpting,November,2016,20,8459,2.36
CoolSculpting Reduced Price November,CoolSculpting,November,2016,17,8549,1.99
MonaLisa,Basic OB/GYN Services,November,2016,10,8226,1.22
Hot Stone Massage,Massage,November,2016,3,2628,1.14
Blow-out Sale,Dermal Fillers,November,2016,2,2017,0.99
Allergan Deals,Dermal Fillers,November,2016,4,6196,0.65
